Time;PlayerPosition;PlayerRotation;PlayerHeadRotation;EnemyPosition;EnemyRotation;MinimapButton;Info
0.01499844;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.1417, 0.2941, -0.0748, 0.9422);(-0.6851, 0.8209, 0.1190);(0.0000, 0.0000, 0.0000, 1.0000);0;test
0.03499794;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.1434, 0.2932, -0.0746, 0.9423);(-0.6854, 0.8209, 0.1199);(0.0000, -0.0044, 0.0000, 1.0000);0;test
0.0549984;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.1441, 0.2930, -0.0741, 0.9423);(-0.6871, 0.8209, 0.1245);(0.0000, -0.0093, 0.0000, 1.0000);0;test
0.0749979;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.1443, 0.2916, -0.0740, 0.9427);(-0.6902, 0.8209, 0.1329);(0.0000, -0.0149, 0.0000, 0.9999);0;test
0.09499836;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.1453, 0.2908, -0.0742, 0.9428);(-0.6922, 0.8209, 0.1384);(0.0000, -0.0177, 0.0000, 0.9998);0;test
0.1149979;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.1457, 0.2901, -0.0738, 0.9430);(-0.6976, 0.8209, 0.1532);(0.0000, -0.0242, 0.0000, 0.9997);0;test
0.1349983;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.1461, 0.2889, -0.0741, 0.9432);(-0.7038, 0.8209, 0.1699);(0.0000, -0.0304, 0.0000, 0.9995);0;test
0.1549978;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.1459, 0.2880, -0.0741, 0.9435);(-0.7117, 0.8209, 0.1913);(0.0000, -0.0371, 0.0000, 0.9993);0;test
0.1749983;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.1463, 0.2873, -0.0741, 0.9437);(-0.7205, 0.8209, 0.2152);(0.0000, -0.0437, 0.0000, 0.9990);0;test
0.1949987;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.1467, 0.2868, -0.0741, 0.9438);(-0.7249, 0.8209, 0.2273);(0.0000, -0.0469, 0.0000, 0.9989);0;test
0.2149982;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.1470, 0.2867, -0.0735, 0.9438);(-0.7337, 0.8209, 0.2511);(0.0000, -0.0529, 0.0000, 0.9986);0;test
0.2349987;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.1483, 0.2857, -0.0732, 0.9439);(-0.7426, 0.8209, 0.2752);(0.0000, -0.0588, 0.0000, 0.9983);0;test
0.2549982;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.1502, 0.2852, -0.0726, 0.9438);(-0.7514, 0.8209, 0.2992);(0.0000, -0.0643, 0.0000, 0.9979);0;test
0.2749987;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.1523, 0.2847, -0.0722, 0.9437);(-0.7602, 0.8209, 0.3231);(0.0000, -0.0696, 0.0000, 0.9976);0;test
0.2949982;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.1530, 0.2845, -0.0718, 0.9437);(-0.7647, 0.8209, 0.3354);(0.0000, -0.0722, 0.0000, 0.9974);0;test
0.3149986;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.1551, 0.2840, -0.0712, 0.9435);(-0.7734, 0.8209, 0.3591);(0.0000, -0.0770, 0.0000, 0.9970);0;test
0.3349981;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.1567, 0.2833, -0.0704, 0.9435);(-0.7822, 0.8209, 0.3830);(0.0000, -0.0817, 0.0000, 0.9967);0;test
0.3549986;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.1583, 0.2822, -0.0696, 0.9436);(-0.7911, 0.8209, 0.4071);(0.0000, -0.0861, 0.0000, 0.9963);0;test
0.3749981;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.1605, 0.2814, -0.0689, 0.9436);(-0.7999, 0.8209, 0.4310);(0.0000, -0.0904, 0.0000, 0.9959);0;test
0.3949986;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.1623, 0.2805, -0.0681, 0.9436);(-0.8046, 0.8209, 0.4439);(0.0000, -0.0926, 0.0000, 0.9957);0;test
0.4149981;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.1660, 0.2791, -0.0671, 0.9434);(-0.8131, 0.8209, 0.4669);(0.0000, -0.0963, 0.0000, 0.9954);0;test
0.4349985;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.1694, 0.2776, -0.0666, 0.9433);(-0.8219, 0.8209, 0.4908);(0.0000, -0.1001, 0.0000, 0.9950);0;test
0.454998;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.1735, 0.2760, -0.0667, 0.9430);(-0.8309, 0.8209, 0.5152);(0.0000, -0.1037, 0.0000, 0.9946);0;test
0.4749985;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.1779, 0.2742, -0.0680, 0.9426);(-0.8395, 0.8209, 0.5387);(0.0000, -0.1070, 0.0000, 0.9943);0;test
0.494998;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.1798, 0.2741, -0.0688, 0.9422);(-0.8442, 0.8209, 0.5514);(0.0000, -0.1088, 0.0000, 0.9941);0;test
