Time;PlayerPosition;PlayerRotation;PlayerHeadRotation;EnemyPosition;EnemyRotation;MinimapButton;Info
0.002914429;(-0.0700, 0.8100, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0628, -0.0187, -0.0002, -0.9979);(-0.6851, 1.0000, 0.1190);(0.0000, 0.0000, 0.0000, 1.0000);1;test
0.0229187;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0626, -0.0186, -0.0002, -0.9979);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0021, 0.0000, 1.0000);0;test
0.04290771;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0625, -0.0184, -0.0003, -0.9979);(-0.6859, 0.8209, 0.1214);(0.0000, -0.0063, 0.0000, 1.0000);0;test
0.06291199;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0624, -0.0184, -0.0003, -0.9979);(-0.6868, 0.8209, 0.1238);(0.0000, -0.0086, 0.0000, 1.0000);0;test
0.08291626;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0620, -0.0184, -0.0006, -0.9979);(-0.6898, 0.8209, 0.1318);(0.0000, -0.0142, 0.0000, 0.9999);0;test
0.1029205;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0621, -0.0184, -0.0007, -0.9979);(-0.6939, 0.8209, 0.1431);(0.0000, -0.0199, 0.0000, 0.9998);0;test
0.1229095;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0620, -0.0183, -0.0007, -0.9979);(-0.6995, 0.8209, 0.1582);(0.0000, -0.0261, 0.0000, 0.9997);0;test
0.1429138;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0620, -0.0183, -0.0007, -0.9979);(-0.7029, 0.8209, 0.1674);(0.0000, -0.0295, 0.0000, 0.9996);0;test
0.1629181;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0620, -0.0184, -0.0007, -0.9979);(-0.7106, 0.8209, 0.1884);(0.0000, -0.0363, 0.0000, 0.9993);0;test
0.1829071;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0621, -0.0184, -0.0009, -0.9979);(-0.7196, 0.8209, 0.2129);(0.0000, -0.0431, 0.0000, 0.9991);0;test
0.2029114;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0621, -0.0185, -0.0010, -0.9979);(-0.7282, 0.8209, 0.2361);(0.0000, -0.0491, 0.0000, 0.9988);0;test
0.2229156;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0622, -0.0184, -0.0010, -0.9979);(-0.7370, 0.8209, 0.2601);(0.0000, -0.0551, 0.0000, 0.9985);0;test
