Time;PlayerPosition;PlayerRotation;PlayerHeadRotation;EnemyPosition;EnemyRotation;MinimapButton;Info
0.00418961;(-0.0700, 0.8100, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0830, -0.0374, -0.0116, -0.9958);(-0.6851, 1.0000, 0.1190);(0.0000, 0.0000, 0.0000, 1.0000);0;test
0.02418959;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0836, -0.0376, -0.0116, -0.9957);(-0.6851, 0.8209, 0.1190);(0.0000, 0.0000, 0.0000, 1.0000);0;test
0.04418957;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0853, -0.0377, -0.0121, -0.9956);(-0.6855, 0.8209, 0.1202);(0.0000, -0.0052, 0.0000, 1.0000);0;test
0.06418955;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0871, -0.0379, -0.0124, -0.9954);(-0.6873, 0.8209, 0.1251);(0.0000, -0.0099, 0.0000, 1.0000);0;test
0.08418953;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0884, -0.0380, -0.0122, -0.9953);(-0.6904, 0.8209, 0.1335);(0.0000, -0.0153, 0.0000, 0.9999);0;test
0.1041895;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0899, -0.0383, -0.0119, -0.9951);(-0.6941, 0.8209, 0.1436);(0.0000, -0.0202, 0.0000, 0.9998);0;test
0.1241895;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0906, -0.0380, -0.0119, -0.9951);(-0.6966, 0.8209, 0.1504);(0.0000, -0.0231, 0.0000, 0.9997);0;test
0.1441896;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0923, -0.0377, -0.0118, -0.9949);(-0.7035, 0.8209, 0.1690);(0.0000, -0.0301, 0.0000, 0.9995);0;test
0.1641896;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0943, -0.0375, -0.0118, -0.9948);(-0.7130, 0.8209, 0.1948);(0.0000, -0.0381, 0.0000, 0.9993);0;test
0.1841896;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0945, -0.0373, -0.0120, -0.9948);(-0.7181, 0.8209, 0.2088);(0.0000, -0.0419, 0.0000, 0.9991);0;test
0.2041895;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0957, -0.0371, -0.0113, -0.9947);(-0.7266, 0.8209, 0.2318);(0.0000, -0.0480, 0.0000, 0.9988);0;test
0.2241895;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0969, -0.0368, -0.0111, -0.9946);(-0.7355, 0.8209, 0.2560);(0.0000, -0.0541, 0.0000, 0.9985);0;test
