Time;PlayerPosition;PlayerRotation;PlayerHeadRotation;EnemyPosition;EnemyRotation;MinimapButton;Info
0.002238989;(-0.0700, 0.8100, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.6851, 1.0000, 0.1190);(0.0000, 0.0000, 0.0000, 1.0000);0;test
0.02223897;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0018, 0.0000, 1.0000);0;test
0.04223895;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.6859, 0.8209, 0.1213);(0.0000, -0.0058, 0.0000, 1.0000);0;test
0.06223893;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.6883, 0.8209, 0.1279);(0.0000, -0.0110, 0.0000, 0.9999);0;test
0.08223891;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.6913, 0.8209, 0.1360);(0.0000, -0.0156, 0.0000, 0.9999);0;test
0.1022389;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.6950, 0.8209, 0.1461);(0.0000, -0.0203, 0.0000, 0.9998);0;test
0.122239;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.7012, 0.8209, 0.1630);(0.0000, -0.0268, 0.0000, 0.9996);0;test
0.142239;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.7074, 0.8209, 0.1797);(0.0000, -0.0323, 0.0000, 0.9995);0;test
0.162239;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.7142, 0.8209, 0.1981);(0.0000, -0.0378, 0.0000, 0.9993);0;test
0.1822389;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.7221, 0.8209, 0.2197);(0.0000, -0.0437, 0.0000, 0.9990);0;test
0.2022389;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.7316, 0.8209, 0.2454);(0.0000, -0.0503, 0.0000, 0.9987);0;test
0.2222389;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.7385, 0.8209, 0.2642);(0.0000, -0.0550, 0.0000, 0.9985);0;test
0.242239;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.7476, 0.8209, 0.2890);(0.0000, -0.0608, 0.0000, 0.9981);0;test
0.262239;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.7547, 0.8209, 0.3082);(0.0000, -0.0652, 0.0000, 0.9979);0;test
0.282239;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.7619, 0.8209, 0.3277);(0.0000, -0.0694, 0.0000, 0.9976);0;test
0.3022389;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.7713, 0.8209, 0.3533);(0.0000, -0.0748, 0.0000, 0.9972);0;test
0.3222389;(-0.0700, 1.2600, -4.7626);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.7793, 0.8209, 0.3750);(0.0000, -0.0791, 0.0000, 0.9969);0;test
0.3422389;(-0.0700, 1.2600, -4.7435);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.7863, 0.8209, 0.3941);(0.0000, -0.0827, 0.0000, 0.9966);0;test
0.3622389;(-0.0700, 1.2600, -4.7148);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.7935, 0.8209, 0.4136);(0.0000, -0.0863, 0.0000, 0.9963);0;test
0.382239;(-0.0700, 1.2600, -4.7028);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.7961, 0.8209, 0.4206);(0.0000, -0.0875, 0.0000, 0.9962);0;test
0.402239;(-0.0700, 1.2600, -4.6187);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.8110, 0.8209, 0.4613);(0.0000, -0.0945, 0.0000, 0.9955);0;test
0.4222389;(-0.0700, 1.2600, -4.5733);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.8183, 0.8209, 0.4809);(0.0000, -0.0976, 0.0000, 0.9952);0;test
0.4422389;(-0.0700, 1.2600, -4.5264);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.8254, 0.8209, 0.5002);(0.0000, -0.1006, 0.0000, 0.9949);0;test
0.4622389;(-0.0700, 1.2600, -4.4618);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.8347, 0.8209, 0.5256);(0.0000, -0.1043, 0.0000, 0.9945);0;test
0.4822389;(-0.0700, 1.2600, -4.4110);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.8419, 0.8209, 0.5451);(0.0000, -0.1071, 0.0000, 0.9943);0;test
0.5022389;(-0.0700, 1.2600, -4.3587);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.8491, 0.8209, 0.5648);(0.0000, -0.1097, 0.0000, 0.9940);0;test
0.5222389;(-0.0700, 1.2600, -4.2897);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.8586, 0.8209, 0.5904);(0.0000, -0.1130, 0.0000, 0.9936);0;test
0.5422388;(-0.0700, 1.2600, -4.2383);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.8655, 0.8209, 0.6093);(0.0000, -0.1154, 0.0000, 0.9933);0;test
0.5622391;(-0.0700, 1.2600, -4.1847);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.8727, 0.8209, 0.6289);(0.0000, -0.1177, 0.0000, 0.9931);0;test
0.582239;(-0.0700, 1.2600, -4.1145);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.8821, 0.8209, 0.6544);(0.0000, -0.1206, 0.0000, 0.9927);0;test
0.602239;(-0.0700, 1.2600, -4.0605);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.8893, 0.8209, 0.6740);(0.0000, -0.1227, 0.0000, 0.9924);0;test
0.622239;(-0.0700, 1.2600, -4.0062);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.8966, 0.8209, 0.6937);(0.0000, -0.1248, 0.0000, 0.9922);0;test
0.642239;(-0.0700, 1.2600, -3.9365);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.9058, 0.8209, 0.7189);(0.0000, -0.1273, 0.0000, 0.9919);0;test
0.662239;(-0.0700, 1.2600, -3.8830);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.9129, 0.8209, 0.7381);(0.0000, -0.1291, 0.0000, 0.9916);0;test
0.6822389;(-0.0700, 1.2600, -3.8232);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.9209, 0.8209, 0.7597);(0.0000, -0.1311, 0.0000, 0.9914);0;test
0.7022389;(-0.0700, 1.2600, -3.7654);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.9285, 0.8209, 0.7805);(0.0000, -0.1329, 0.0000, 0.9911);0;test
0.7222389;(-0.0700, 1.2600, -3.6944);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.9379, 0.8209, 0.8061);(0.0000, -0.1350, 0.0000, 0.9908);0;test
0.7422389;(-0.0700, 1.2600, -3.6399);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.9452, 0.8209, 0.8257);(0.0000, -0.1366, 0.0000, 0.9906);0;test
0.7622389;(-0.0700, 1.2600, -3.5847);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.9525, 0.8209, 0.8456);(0.0000, -0.1381, 0.0000, 0.9904);0;test
