Time;PlayerPosition;PlayerRotation;PlayerHeadRotation;EnemyPosition;EnemyRotation;MinimapButton;Info
0.01123142;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.6851, 0.8209, 0.1190);(0.0000, 0.0000, 0.0000, 1.0000);0;test
0.0312314;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.6853, 0.8209, 0.1196);(0.0000, -0.0034, 0.0000, 1.0000);0;test
0.05123138;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.6866, 0.8209, 0.1232);(0.0000, -0.0077, 0.0000, 1.0000);0;test
0.07123137;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.6892, 0.8209, 0.1302);(0.0000, -0.0126, 0.0000, 0.9999);0;test
0.09123182;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.6929, 0.8209, 0.1404);(0.0000, -0.0179, 0.0000, 0.9998);0;test
0.1112318;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.6965, 0.8209, 0.1500);(0.0000, -0.0221, 0.0000, 0.9998);0;test
0.1312318;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.7021, 0.8209, 0.1653);(0.0000, -0.0278, 0.0000, 0.9996);0;test
0.1512318;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.7092, 0.8209, 0.1845);(0.0000, -0.0340, 0.0000, 0.9994);0;test
0.1712317;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.7173, 0.8209, 0.2065);(0.0000, -0.0403, 0.0000, 0.9992);0;test
0.1912317;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.7071, 0.0000, 0.0000, 0.7071);(-0.7254, 0.8209, 0.2285);(0.0000, -0.0462, 0.0000, 0.9989);0;test
