Time;PlayerPosition;PlayerRotation;PlayerHeadRotation;EnemyPosition;EnemyRotation;MinimapButton;Info
0.003619194;(-0.0700, 0.8100, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 1.0000, 0.1190);(0.0000, 0.0000, 0.0000, 1.0000);0;test
0.02361917;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6852, 0.8209, 0.1193);(0.0000, -0.0027, 0.0000, 1.0000);0;test
0.04361916;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6862, 0.8209, 0.1221);(0.0000, -0.0065, 0.0000, 1.0000);0;test
0.06361914;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6881, 0.8209, 0.1273);(0.0000, -0.0106, 0.0000, 0.9999);0;test
0.08361912;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6910, 0.8209, 0.1352);(0.0000, -0.0152, 0.0000, 0.9999);0;test
0.1036191;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6961, 0.8209, 0.1491);(0.0000, -0.0215, 0.0000, 0.9998);0;test
0.1236192;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7014, 0.8209, 0.1634);(0.0000, -0.0269, 0.0000, 0.9996);0;test
0.1436192;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7073, 0.8209, 0.1793);(0.0000, -0.0322, 0.0000, 0.9995);0;test
0.1636192;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7140, 0.8209, 0.1976);(0.0000, -0.0376, 0.0000, 0.9993);0;test
0.1836191;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7240, 0.8209, 0.2247);(0.0000, -0.0450, 0.0000, 0.9990);0;test
0.2036191;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7310, 0.8209, 0.2439);(0.0000, -0.0499, 0.0000, 0.9988);0;test
0.2236191;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7381, 0.8209, 0.2631);(0.0000, -0.0547, 0.0000, 0.9985);0;test
0.2436191;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7477, 0.8209, 0.2891);(0.0000, -0.0608, 0.0000, 0.9981);0;test
0.2636192;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7546, 0.8209, 0.3081);(0.0000, -0.0651, 0.0000, 0.9979);0;test
0.2836192;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7642, 0.8209, 0.3341);(0.0000, -0.0708, 0.0000, 0.9975);0;test
0.3036191;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7713, 0.8209, 0.3535);(0.0000, -0.0748, 0.0000, 0.9972);0;test
0.3236191;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7785, 0.8209, 0.3728);(0.0000, -0.0786, 0.0000, 0.9969);0;test
0.3436191;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7879, 0.8209, 0.3985);(0.0000, -0.0835, 0.0000, 0.9965);0;test
0.3636191;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7951, 0.8209, 0.4179);(0.0000, -0.0870, 0.0000, 0.9962);0;test
0.3836191;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8023, 0.8209, 0.4376);(0.0000, -0.0905, 0.0000, 0.9959);0;test
0.4036191;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8097, 0.8209, 0.4576);(0.0000, -0.0938, 0.0000, 0.9956);0;test
0.423619;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8190, 0.8209, 0.4831);(0.0000, -0.0979, 0.0000, 0.9952);0;test
0.4436193;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8264, 0.8209, 0.5031);(0.0000, -0.1010, 0.0000, 0.9949);0;test
0.4636192;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8334, 0.8209, 0.5222);(0.0000, -0.1038, 0.0000, 0.9946);0;test
0.4836192;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8431, 0.8209, 0.5484);(0.0000, -0.1075, 0.0000, 0.9942);0;test
0.5036192;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8502, 0.8209, 0.5678);(0.0000, -0.1101, 0.0000, 0.9939);0;test
0.5236192;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8574, 0.8209, 0.5873);(0.0000, -0.1126, 0.0000, 0.9936);0;test
0.5436192;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8673, 0.8209, 0.6141);(0.0000, -0.1159, 0.0000, 0.9933);0;test
0.5636191;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8743, 0.8209, 0.6331);(0.0000, -0.1181, 0.0000, 0.9930);0;test
0.5836191;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8814, 0.8209, 0.6526);(0.0000, -0.1203, 0.0000, 0.9927);0;test
0.6036191;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8911, 0.8209, 0.6789);(0.0000, -0.1232, 0.0000, 0.9924);0;test
0.6236191;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8985, 0.8209, 0.6990);(0.0000, -0.1252, 0.0000, 0.9921);0;test
0.6436191;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.9057, 0.8209, 0.7184);(0.0000, -0.1272, 0.0000, 0.9919);0;test
0.663619;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.9128, 0.8209, 0.7379);(0.0000, -0.1290, 0.0000, 0.9916);0;test
0.683619;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.9225, 0.8209, 0.7640);(0.0000, -0.1314, 0.0000, 0.9913);0;test
0.7036192;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.9297, 0.8209, 0.7837);(0.0000, -0.1331, 0.0000, 0.9911);0;test
0.7236192;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.9370, 0.8209, 0.8036);(0.0000, -0.1348, 0.0000, 0.9909);0;test
0.7436192;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.9464, 0.8209, 0.8291);(0.0000, -0.1368, 0.0000, 0.9906);0;test
0.7636192;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.9536, 0.8209, 0.8485);(0.0000, -0.1383, 0.0000, 0.9904);0;test
0.7836192;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.9608, 0.8209, 0.8682);(0.0000, -0.1397, 0.0000, 0.9902);0;test
0.8036191;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.9706, 0.8209, 0.8947);(0.0000, -0.1416, 0.0000, 0.9899);0;test
0.8236191;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.9780, 0.8209, 0.9149);(0.0000, -0.1429, 0.0000, 0.9897);0;test
0.8436191;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.9852, 0.8209, 0.9344);(0.0000, -0.1442, 0.0000, 0.9896);0;test
0.8636191;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.9946, 0.8209, 0.9600);(0.0000, -0.1457, 0.0000, 0.9893);0;test
0.8836191;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0017, 0.8209, 0.9794);(0.0000, -0.1469, 0.0000, 0.9892);0;test
0.9036191;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0086, 0.8209, 0.9982);(0.0000, -0.1479, 0.0000, 0.9890);0;test
0.923619;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0183, 0.8209, 1.0244);(0.0000, -0.1493, 0.0000, 0.9888);0;test
0.943619;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0252, 0.8209, 1.0433);(0.0000, -0.1503, 0.0000, 0.9886);0;test
0.9636192;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0322, 0.8209, 1.0623);(0.0000, -0.1512, 0.0000, 0.9885);0;test
0.9836192;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0416, 0.8209, 1.0878);(0.0000, -0.1525, 0.0000, 0.9883);0;test
1.003619;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0490, 0.8209, 1.1078);(0.0000, -0.1534, 0.0000, 0.9882);0;test
1.023619;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0562, 0.8209, 1.1275);(0.0000, -0.1542, 0.0000, 0.9880);0;test
1.043619;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0660, 0.8209, 1.1541);(0.0000, -0.1553, 0.0000, 0.9879);0;test
1.063619;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0733, 0.8209, 1.1739);(0.0000, -0.1561, 0.0000, 0.9877);0;test
1.083619;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0803, 0.8209, 1.1929);(0.0000, -0.1568, 0.0000, 0.9876);0;test
1.103619;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0897, 0.8209, 1.2186);(0.0000, -0.1578, 0.0000, 0.9875);0;test
1.123619;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0967, 0.8209, 1.2375);(0.0000, -0.1584, 0.0000, 0.9874);0;test
1.143619;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.1039, 0.8209, 1.2571);(0.0000, -0.1591, 0.0000, 0.9873);0;test
1.163619;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.1130, 0.8209, 1.2823);(0.0000, -0.1596, 0.0000, 0.9872);0;test
1.183619;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.1199, 0.8209, 1.3021);(0.0000, -0.1599, 0.0000, 0.9871);0;test
1.203619;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.1267, 0.8209, 1.3215);(0.0000, -0.1602, 0.0000, 0.9871);0;test
1.223619;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.1358, 0.8209, 1.3473);(0.0000, -0.1606, 0.0000, 0.9870);0;test
1.243619;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.1427, 0.8209, 1.3669);(0.0000, -0.1610, 0.0000, 0.9870);0;test
1.263619;(-0.0758, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.1503, 0.8209, 1.3882);(0.0000, -0.1613, 0.0000, 0.9869);0;test
1.283619;(-0.0873, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.1572, 0.8209, 1.4079);(0.0000, -0.1616, 0.0000, 0.9869);0;test
1.303619;(-0.1086, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.1664, 0.8209, 1.4338);(0.0000, -0.1620, 0.0000, 0.9868);0;test
1.323619;(-0.1281, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.1734, 0.8209, 1.4534);(0.0000, -0.1623, 0.0000, 0.9867);0;test
1.343619;(-0.1494, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.1802, 0.8209, 1.4727);(0.0000, -0.1626, 0.0000, 0.9867);0;test
1.363619;(-0.1737, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.1876, 0.8209, 1.4933);(0.0000, -0.1630, 0.0000, 0.9866);0;test
1.383619;(-0.2069, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.1972, 0.8209, 1.5199);(0.0000, -0.1635, 0.0000, 0.9865);0;test
1.403619;(-0.2322, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.2044, 0.8209, 1.5395);(0.0000, -0.1638, 0.0000, 0.9865);0;test
1.423619;(-0.2585, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.2114, 0.8209, 1.5595);(0.0000, -0.1642, 0.0000, 0.9864);0;test
1.443619;(-0.2854, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.2187, 0.8209, 1.5796);(0.0000, -0.1644, 0.0000, 0.9864);0;test
1.463619;(-0.3224, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.2284, 0.8209, 1.6069);(0.0000, -0.1648, 0.0000, 0.9863);0;test
1.483619;(-0.3496, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.2357, 0.8209, 1.6267);(0.0000, -0.1651, 0.0000, 0.9863);0;test
1.503619;(-0.3762, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.2426, 0.8209, 1.6461);(0.0000, -0.1653, 0.0000, 0.9862);0;test
1.523619;(-0.4036, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.2497, 0.8209, 1.6660);(0.0000, -0.1655, 0.0000, 0.9862);0;test
1.543619;(-0.4306, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.2570, 0.8209, 1.6864);(0.0000, -0.1658, 0.0000, 0.9862);0;test
1.563619;(-0.4566, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.2670, 0.8209, 1.7139);(0.0000, -0.1661, 0.0000, 0.9861);0;test
1.583619;(-0.4693, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.2740, 0.8209, 1.7334);(0.0000, -0.1663, 0.0000, 0.9861);0;test
1.603619;(-0.4788, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.2811, 0.8209, 1.7534);(0.0000, -0.1665, 0.0000, 0.9860);0;test
1.623619;(-0.4859, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.2886, 0.8209, 1.7741);(0.0000, -0.1667, 0.0000, 0.9860);0;test
1.643619;(-0.4921, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.2979, 0.8209, 1.8000);(0.0000, -0.1670, 0.0000, 0.9860);0;test
1.663619;(-0.4954, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.3052, 0.8209, 1.8201);(0.0000, -0.1672, 0.0000, 0.9859);0;test
1.683619;(-0.4978, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.3124, 0.8209, 1.8400);(0.0000, -0.1674, 0.0000, 0.9859);0;test
1.703619;(-0.4996, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.3200, 0.8209, 1.8610);(0.0000, -0.1677, 0.0000, 0.9858);0;test
1.723619;(-0.5009, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.3272, 0.8209, 1.8809);(0.0000, -0.1679, 0.0000, 0.9858);0;test
1.743619;(-0.5020, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.3369, 0.8209, 1.9076);(0.0000, -0.1682, 0.0000, 0.9858);0;test
1.763619;(-0.5026, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.3441, 0.8209, 1.9273);(0.0000, -0.1684, 0.0000, 0.9857);0;test
1.783619;(-0.5031, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.3514, 0.8209, 1.9472);(0.0000, -0.1687, 0.0000, 0.9857);0;test
1.803619;(-0.5034, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.3586, 0.8209, 1.9668);(0.0000, -0.1689, 0.0000, 0.9856);0;test
