Time;PlayerPosition;PlayerRotation;PlayerHeadRotation;EnemyPosition;EnemyRotation;MinimapButton;Info
0.0116086;(-0.0700, 0.8100, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0043, -0.0261, 0.1033, -0.9943);(-0.6851, 1.0000, 0.1190);(0.0000, 0.0000, 0.0000, 1.0000);0;test
0.03160858;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0040, -0.0263, 0.1033, -0.9943);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0020, 0.0000, 1.0000);0;test
0.05160856;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0033, -0.0268, 0.1036, -0.9942);(-0.6857, 0.8209, 0.1208);(0.0000, -0.0055, 0.0000, 1.0000);0;test
0.07160854;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0027, -0.0272, 0.1035, -0.9943);(-0.6879, 0.8209, 0.1267);(0.0000, -0.0109, 0.0000, 0.9999);0;test
0.09160876;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0016, -0.0282, 0.1038, -0.9942);(-0.6910, 0.8209, 0.1352);(0.0000, -0.0160, 0.0000, 0.9999);0;test
0.1116087;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0004, -0.0285, 0.1037, -0.9942);(-0.6957, 0.8209, 0.1480);(0.0000, -0.0220, 0.0000, 0.9998);0;test
0.1316087;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, -0.0290, 0.1039, -0.9942);(-0.6986, 0.8209, 0.1557);(0.0000, -0.0251, 0.0000, 0.9997);0;test
0.1516087;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0013, -0.0295, 0.1038, -0.9942);(-0.7055, 0.8209, 0.1746);(0.0000, -0.0319, 0.0000, 0.9995);0;test
0.1716087;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0019, -0.0298, 0.1041, -0.9941);(-0.7135, 0.8209, 0.1962);(0.0000, -0.0384, 0.0000, 0.9993);0;test
0.1916087;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0026, -0.0308, 0.1039, -0.9941);(-0.7218, 0.8209, 0.2187);(0.0000, -0.0446, 0.0000, 0.9990);0;test
0.2116086;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0043, -0.0321, 0.1043, -0.9940);(-0.7307, 0.8209, 0.2429);(0.0000, -0.0508, 0.0000, 0.9987);0;test
0.2316086;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0056, -0.0330, 0.1051, -0.9939);(-0.7400, 0.8209, 0.2683);(0.0000, -0.0571, 0.0000, 0.9984);0;test
0.2516086;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0067, -0.0341, 0.1060, -0.9938);(-0.7481, 0.8209, 0.2904);(0.0000, -0.0623, 0.0000, 0.9981);0;test
