Time;PlayerPosition;PlayerRotation;PlayerHeadRotation;EnemyPosition;EnemyRotation;MinimapButton;Info
0.01382446;(-0.0700, 0.8100, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0177, -0.0664, -0.0392, -0.9969);(-0.6851, 1.0000, 0.1190);(0.0000, 0.0000, 0.0000, 1.0000);1;test
0.03384399;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0176, -0.0664, -0.0392, -0.9969);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0026, 0.0000, 1.0000);0;test
0.05383301;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0176, -0.0663, -0.0392, -0.9969);(-0.6859, 0.8209, 0.1214);(0.0000, -0.0064, 0.0000, 1.0000);0;test
0.07382202;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0176, -0.0663, -0.0392, -0.9969);(-0.6877, 0.8209, 0.1262);(0.0000, -0.0105, 0.0000, 0.9999);0;test
0.09384155;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0177, -0.0663, -0.0392, -0.9969);(-0.6910, 0.8209, 0.1351);(0.0000, -0.0160, 0.0000, 0.9999);0;test
0.1138306;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0177, -0.0664, -0.0393, -0.9969);(-0.6960, 0.8209, 0.1487);(0.0000, -0.0224, 0.0000, 0.9997);0;test
0.1338196;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0179, -0.0664, -0.0394, -0.9969);(-0.7018, 0.8209, 0.1644);(0.0000, -0.0284, 0.0000, 0.9996);0;test
0.1538391;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0179, -0.0664, -0.0393, -0.9969);(-0.7057, 0.8209, 0.1752);(0.0000, -0.0321, 0.0000, 0.9995);0;test
0.1738281;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0180, -0.0664, -0.0393, -0.9969);(-0.7146, 0.8209, 0.1991);(0.0000, -0.0393, 0.0000, 0.9992);0;test
0.1938477;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0180, -0.0664, -0.0392, -0.9969);(-0.7234, 0.8209, 0.2232);(0.0000, -0.0458, 0.0000, 0.9990);0;test
0.2138367;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0180, -0.0665, -0.0392, -0.9969);(-0.7281, 0.8209, 0.2360);(0.0000, -0.0491, 0.0000, 0.9988);0;test
0.2338257;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0178, -0.0665, -0.0392, -0.9969);(-0.7378, 0.8209, 0.2622);(0.0000, -0.0557, 0.0000, 0.9984);0;test
0.2538452;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0178, -0.0666, -0.0392, -0.9969);(-0.7464, 0.8209, 0.2858);(0.0000, -0.0613, 0.0000, 0.9981);0;test
0.2738342;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0178, -0.0665, -0.0392, -0.9969);(-0.7555, 0.8209, 0.3105);(0.0000, -0.0668, 0.0000, 0.9978);0;test
0.2938232;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0178, -0.0665, -0.0392, -0.9969);(-0.7601, 0.8209, 0.3230);(0.0000, -0.0696, 0.0000, 0.9976);0;test
