Time;PlayerPosition;PlayerRotation;PlayerHeadRotation;EnemyPosition;EnemyRotation;MinimapButton;Info
0.001925945;(-0.0700, 0.8100, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0155, -0.1703, -0.0055, -0.9852);(-0.6851, 1.0000, 0.1190);(0.0000, 0.0000, 0.0000, 1.0000);0;test
0.02192593;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0289, -0.1723, -0.0006, -0.9846);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0022, 0.0000, 1.0000);0;test
0.04192591;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0459, -0.1743, 0.0049, -0.9836);(-0.6860, 0.8209, 0.1216);(0.0000, -0.0066, 0.0000, 1.0000);0;test
0.06192589;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0550, -0.1754, 0.0079, -0.9829);(-0.6870, 0.8209, 0.1243);(0.0000, -0.0091, 0.0000, 1.0000);0;test
0.08192587;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0753, -0.1773, 0.0144, -0.9812);(-0.6903, 0.8209, 0.1331);(0.0000, -0.0150, 0.0000, 0.9999);0;test
0.1019258;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0988, -0.1782, 0.0201, -0.9788);(-0.6944, 0.8209, 0.1444);(0.0000, -0.0205, 0.0000, 0.9998);0;test
0.1219258;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.1239, -0.1777, 0.0240, -0.9760);(-0.7002, 0.8209, 0.1600);(0.0000, -0.0268, 0.0000, 0.9996);0;test
0.1419259;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.1364, -0.1770, 0.0243, -0.9744);(-0.7036, 0.8209, 0.1692);(0.0000, -0.0301, 0.0000, 0.9995);0;test
0.1619259;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.1613, -0.1735, 0.0230, -0.9713);(-0.7113, 0.8209, 0.1904);(0.0000, -0.0369, 0.0000, 0.9993);0;test
0.1819259;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.1840, -0.1691, 0.0187, -0.9681);(-0.7203, 0.8209, 0.2147);(0.0000, -0.0435, 0.0000, 0.9991);0;test
