Time;PlayerPosition;PlayerRotation;PlayerHeadRotation;EnemyPosition;EnemyRotation;MinimapButton;Info
0.01871091;(-0.0700, 0.8100, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.1468, -0.1576, 0.0055, -0.9765);(-0.6851, 1.0000, 0.1190);(0.0000, 0.0000, 0.0000, 1.0000);0;test
0.03871095;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.1470, -0.1575, 0.0062, -0.9765);(-0.6851, 0.8209, 0.1190);(0.0000, 0.0000, 0.0000, 1.0000);0;test
0.05871093;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.1470, -0.1575, 0.0062, -0.9765);(-0.6851, 0.8209, 0.1190);(0.0000, 0.0000, 0.0000, 1.0000);0;test
0.07871091;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.1474, -0.1575, 0.0070, -0.9764);(-0.6861, 0.8209, 0.1218);(0.0000, -0.0123, 0.0000, 0.9999);0;test
0.09871095;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.1480, -0.1579, 0.0074, -0.9763);(-0.6893, 0.8209, 0.1306);(0.0000, -0.0173, 0.0000, 0.9999);0;test
0.1187109;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.1484, -0.1586, 0.0073, -0.9761);(-0.6922, 0.8209, 0.1385);(0.0000, -0.0209, 0.0000, 0.9998);0;test
0.1387109;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.1487, -0.1600, 0.0067, -0.9758);(-0.6976, 0.8209, 0.1530);(0.0000, -0.0266, 0.0000, 0.9996);0;test
0.158711;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.1486, -0.1625, 0.0053, -0.9754);(-0.7037, 0.8209, 0.1697);(0.0000, -0.0323, 0.0000, 0.9995);0;test
0.1787109;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.1480, -0.1664, 0.0039, -0.9749);(-0.7109, 0.8209, 0.1892);(0.0000, -0.0382, 0.0000, 0.9993);0;test
0.1987109;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.1467, -0.1770, 0.0050, -0.9732);(-0.7166, 0.8209, 0.2047);(0.0000, -0.0424, 0.0000, 0.9991);0;test
0.218711;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.1463, -0.1834, 0.0073, -0.9721);(-0.7290, 0.8209, 0.2383);(0.0000, -0.0513, 0.0000, 0.9987);0;test
