Time;PlayerPosition;PlayerRotation;PlayerHeadRotation;EnemyPosition;EnemyRotation;MinimapButton;Info
0.002675891;(-0.0700, 0.8100, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0907, -0.0649, 0.0039, -0.9938);(-0.6851, 1.0000, 0.1190);(0.0000, 0.0000, 0.0000, 1.0000);0;test
0.02267587;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0908, -0.0649, 0.0040, -0.9938);(-0.6851, 0.8209, 0.1190);(0.0000, 0.0000, 0.0000, 1.0000);0;test
0.04267585;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0908, -0.0648, 0.0040, -0.9937);(-0.6855, 0.8209, 0.1201);(0.0000, -0.0050, 0.0000, 1.0000);0;test
0.06267583;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0908, -0.0649, 0.0040, -0.9938);(-0.6874, 0.8209, 0.1254);(0.0000, -0.0102, 0.0000, 0.9999);0;test
0.08267581;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0907, -0.0649, 0.0040, -0.9938);(-0.6891, 0.8209, 0.1299);(0.0000, -0.0133, 0.0000, 0.9999);0;test
0.1026759;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0906, -0.0649, 0.0040, -0.9938);(-0.6927, 0.8209, 0.1398);(0.0000, -0.0185, 0.0000, 0.9998);0;test
0.1226759;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0906, -0.0649, 0.0040, -0.9938);(-0.6989, 0.8209, 0.1565);(0.0000, -0.0257, 0.0000, 0.9997);0;test
0.1426759;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0908, -0.0650, 0.0040, -0.9937);(-0.7046, 0.8209, 0.1720);(0.0000, -0.0312, 0.0000, 0.9995);0;test
0.1626759;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0910, -0.0650, 0.0041, -0.9937);(-0.7129, 0.8209, 0.1946);(0.0000, -0.0382, 0.0000, 0.9993);0;test
0.1826758;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0911, -0.0651, 0.0041, -0.9937);(-0.7169, 0.8209, 0.2055);(0.0000, -0.0412, 0.0000, 0.9992);0;test
0.2026758;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0913, -0.0651, 0.0042, -0.9937);(-0.7257, 0.8209, 0.2295);(0.0000, -0.0476, 0.0000, 0.9989);0;test
0.2226758;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0915, -0.0651, 0.0042, -0.9937);(-0.7353, 0.8209, 0.2556);(0.0000, -0.0542, 0.0000, 0.9985);0;test
0.2426759;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0915, -0.0652, 0.0042, -0.9937);(-0.7438, 0.8209, 0.2787);(0.0000, -0.0597, 0.0000, 0.9982);0;test
0.2626759;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0915, -0.0653, 0.0042, -0.9937);(-0.7523, 0.8209, 0.3016);(0.0000, -0.0650, 0.0000, 0.9979);0;test
0.2826759;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0915, -0.0653, 0.0042, -0.9937);(-0.7568, 0.8209, 0.3140);(0.0000, -0.0677, 0.0000, 0.9977);0;test
0.3026758;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0915, -0.0654, 0.0042, -0.9937);(-0.7656, 0.8209, 0.3378);(0.0000, -0.0728, 0.0000, 0.9973);0;test
0.3226758;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0916, -0.0653, 0.0043, -0.9936);(-0.7751, 0.8209, 0.3635);(0.0000, -0.0780, 0.0000, 0.9970);0;test
0.3426758;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0916, -0.0654, 0.0044, -0.9936);(-0.7834, 0.8209, 0.3861);(0.0000, -0.0824, 0.0000, 0.9966);0;test
0.3626758;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0915, -0.0654, 0.0044, -0.9936);(-0.7923, 0.8209, 0.4104);(0.0000, -0.0868, 0.0000, 0.9962);0;test
0.3826758;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0915, -0.0654, 0.0044, -0.9936);(-0.7973, 0.8209, 0.4239);(0.0000, -0.0892, 0.0000, 0.9960);0;test
0.4026757;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0915, -0.0654, 0.0044, -0.9936);(-0.8061, 0.8209, 0.4478);(0.0000, -0.0933, 0.0000, 0.9956);0;test
0.422676;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0916, -0.0654, 0.0045, -0.9936);(-0.8154, 0.8209, 0.4732);(0.0000, -0.0974, 0.0000, 0.9952);0;test
0.4426759;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0917, -0.0654, 0.0045, -0.9936);(-0.8241, 0.8209, 0.4968);(0.0000, -0.1011, 0.0000, 0.9949);0;test
0.4626759;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0919, -0.0653, 0.0045, -0.9936);(-0.8318, 0.8209, 0.5178);(0.0000, -0.1042, 0.0000, 0.9946);0;test
0.4826759;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0919, -0.0653, 0.0045, -0.9936);(-0.8367, 0.8209, 0.5311);(0.0000, -0.1061, 0.0000, 0.9944);0;test
0.5026759;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0920, -0.0653, 0.0045, -0.9936);(-0.8455, 0.8209, 0.5550);(0.0000, -0.1093, 0.0000, 0.9940);0;test
0.5226759;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0922, -0.0652, 0.0045, -0.9936);(-0.8551, 0.8209, 0.5810);(0.0000, -0.1127, 0.0000, 0.9936);0;test
0.5426759;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0925, -0.0651, 0.0045, -0.9936);(-0.8636, 0.8209, 0.6041);(0.0000, -0.1156, 0.0000, 0.9933);0;test
0.5626758;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0927, -0.0652, 0.0045, -0.9935);(-0.8685, 0.8209, 0.6176);(0.0000, -0.1172, 0.0000, 0.9931);0;test
0.5826758;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0927, -0.0652, 0.0045, -0.9935);(-0.8766, 0.8209, 0.6394);(0.0000, -0.1197, 0.0000, 0.9928);0;test
0.6026758;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0928, -0.0652, 0.0045, -0.9935);(-0.8852, 0.8209, 0.6627);(0.0000, -0.1223, 0.0000, 0.9925);0;test
0.6226758;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0928, -0.0653, 0.0046, -0.9935);(-0.8947, 0.8209, 0.6887);(0.0000, -0.1250, 0.0000, 0.9922);0;test
0.6426758;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0928, -0.0654, 0.0046, -0.9935);(-0.9030, 0.8209, 0.7111);(0.0000, -0.1272, 0.0000, 0.9919);0;test
0.6626757;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0927, -0.0653, 0.0046, -0.9935);(-0.9079, 0.8209, 0.7246);(0.0000, -0.1285, 0.0000, 0.9917);0;test
0.682676;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0926, -0.0653, 0.0046, -0.9935);(-0.9162, 0.8209, 0.7471);(0.0000, -0.1306, 0.0000, 0.9914);0;test
0.7026759;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0927, -0.0654, 0.0046, -0.9935);(-0.9252, 0.8209, 0.7714);(0.0000, -0.1328, 0.0000, 0.9911);0;test
0.7226759;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0928, -0.0653, 0.0046, -0.9935);(-0.9348, 0.8209, 0.7977);(0.0000, -0.1350, 0.0000, 0.9908);0;test
0.7426759;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0928, -0.0654, 0.0046, -0.9935);(-0.9426, 0.8209, 0.8187);(0.0000, -0.1367, 0.0000, 0.9906);0;test
0.7626759;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0930, -0.0653, 0.0045, -0.9935);(-0.9514, 0.8209, 0.8428);(0.0000, -0.1385, 0.0000, 0.9904);0;test
0.7826759;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0929, -0.0653, 0.0047, -0.9935);(-0.9562, 0.8209, 0.8557);(0.0000, -0.1395, 0.0000, 0.9902);0;test
0.8026758;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0930, -0.0654, 0.0047, -0.9935);(-0.9651, 0.8209, 0.8798);(0.0000, -0.1412, 0.0000, 0.9900);0;test
0.8226758;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0930, -0.0655, 0.0048, -0.9935);(-0.9742, 0.8209, 0.9046);(0.0000, -0.1428, 0.0000, 0.9897);0;test
0.8426758;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0930, -0.0656, 0.0048, -0.9935);(-0.9825, 0.8209, 0.9272);(0.0000, -0.1443, 0.0000, 0.9895);0;test
0.8626758;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0930, -0.0655, 0.0048, -0.9935);(-0.9877, 0.8209, 0.9412);(0.0000, -0.1452, 0.0000, 0.9894);0;test
0.8826758;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0931, -0.0656, 0.0048, -0.9935);(-0.9958, 0.8209, 0.9632);(0.0000, -0.1465, 0.0000, 0.9892);0;test
0.9026757;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0931, -0.0656, 0.0048, -0.9935);(-1.0048, 0.8209, 0.9878);(0.0000, -0.1479, 0.0000, 0.9890);0;test
0.9226757;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0930, -0.0656, 0.0049, -0.9935);(-1.0141, 0.8209, 1.0130);(0.0000, -0.1493, 0.0000, 0.9888);0;test
0.9426759;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0930, -0.0653, 0.0049, -0.9935);(-1.0220, 0.8209, 1.0346);(0.0000, -0.1504, 0.0000, 0.9886);0;test
0.9626759;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0930, -0.0656, 0.0049, -0.9935);(-1.0277, 0.8209, 1.0499);(0.0000, -0.1511, 0.0000, 0.9885);0;test
0.9826759;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0930, -0.0654, 0.0049, -0.9935);(-1.0355, 0.8209, 1.0712);(0.0000, -0.1522, 0.0000, 0.9884);0;test
1.002676;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0931, -0.0655, 0.0049, -0.9935);(-1.0443, 0.8209, 1.0952);(0.0000, -0.1533, 0.0000, 0.9882);0;test
1.022676;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0932, -0.0654, 0.0050, -0.9935);(-1.0538, 0.8209, 1.1208);(0.0000, -0.1544, 0.0000, 0.9880);0;test
1.042676;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0934, -0.0654, 0.0050, -0.9935);(-1.0621, 0.8209, 1.1435);(0.0000, -0.1553, 0.0000, 0.9879);0;test
1.062676;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0935, -0.0655, 0.0050, -0.9935);(-1.0671, 0.8209, 1.1570);(0.0000, -0.1559, 0.0000, 0.9878);0;test
1.082676;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0936, -0.0654, 0.0050, -0.9934);(-1.0754, 0.8209, 1.1795);(0.0000, -0.1567, 0.0000, 0.9876);0;test
1.102676;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0937, -0.0653, 0.0051, -0.9934);(-1.0842, 0.8209, 1.2035);(0.0000, -0.1576, 0.0000, 0.9875);0;test
1.122676;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0938, -0.0654, 0.0051, -0.9934);(-1.0936, 0.8209, 1.2290);(0.0000, -0.1585, 0.0000, 0.9874);0;test
1.142676;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0938, -0.0653, 0.0052, -0.9934);(-1.1016, 0.8209, 1.2509);(0.0000, -0.1592, 0.0000, 0.9872);0;test
1.162676;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0938, -0.0652, 0.0051, -0.9934);(-1.1068, 0.8209, 1.2648);(0.0000, -0.1597, 0.0000, 0.9872);0;test
1.182676;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0937, -0.0650, 0.0052, -0.9935);(-1.1146, 0.8209, 1.2867);(0.0000, -0.1602, 0.0000, 0.9871);0;test
1.202676;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0934, -0.0646, 0.0053, -0.9935);(-1.1235, 0.8209, 1.3113);(0.0000, -0.1606, 0.0000, 0.9870);0;test
1.222676;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0933, -0.0639, 0.0056, -0.9936);(-1.1326, 0.8209, 1.3366);(0.0000, -0.1613, 0.0000, 0.9869);0;test
1.242676;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0932, -0.0630, 0.0056, -0.9936);(-1.1406, 0.8209, 1.3588);(0.0000, -0.1616, 0.0000, 0.9869);0;test
1.262676;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0929, -0.0627, 0.0057, -0.9937);(-1.1453, 0.8209, 1.3724);(0.0000, -0.1618, 0.0000, 0.9868);0;test
1.282676;(-0.0703, 1.2600, -4.7683);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0933, -0.0612, 0.0057, -0.9937);(-1.1536, 0.8209, 1.3959);(0.0000, -0.1621, 0.0000, 0.9868);0;test
1.302676;(-0.0721, 1.2600, -4.7586);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0937, -0.0603, 0.0059, -0.9938);(-1.1622, 0.8209, 1.4197);(0.0000, -0.1626, 0.0000, 0.9867);0;test
