Time;PlayerPosition;PlayerRotation;PlayerHeadRotation;EnemyPosition;EnemyRotation;MinimapButton;Info
0.01661277;(-0.0700, 0.8100, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0608, -0.0778, -0.0176, -0.9950);(-0.6851, 1.0000, 0.1190);(0.0000, 0.0000, 0.0000, 1.0000);0;test
0.03661275;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0608, -0.0776, -0.0176, -0.9950);(-0.6851, 0.8209, 0.1190);(0.0000, 0.0000, 0.0000, 1.0000);0;test
0.05661273;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0609, -0.0772, -0.0174, -0.9950);(-0.6858, 0.8209, 0.1210);(0.0000, -0.0069, 0.0000, 1.0000);0;test
0.07661295;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0610, -0.0772, -0.0175, -0.9950);(-0.6878, 0.8209, 0.1263);(0.0000, -0.0122, 0.0000, 0.9999);0;test
0.09661293;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0611, -0.0771, -0.0174, -0.9950);(-0.6900, 0.8209, 0.1324);(0.0000, -0.0159, 0.0000, 0.9999);0;test
0.1166129;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0612, -0.0769, -0.0174, -0.9950);(-0.6930, 0.8209, 0.1406);(0.0000, -0.0202, 0.0000, 0.9998);0;test
0.1366129;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0613, -0.0769, -0.0174, -0.9950);(-0.6982, 0.8209, 0.1548);(0.0000, -0.0266, 0.0000, 0.9996);0;test
0.1566129;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0613, -0.0769, -0.0173, -0.9950);(-0.7044, 0.8209, 0.1715);(0.0000, -0.0329, 0.0000, 0.9995);0;test
0.1766129;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0613, -0.0770, -0.0173, -0.9950);(-0.7124, 0.8209, 0.1932);(0.0000, -0.0399, 0.0000, 0.9992);0;test
0.1966128;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0613, -0.0769, -0.0172, -0.9950);(-0.7218, 0.8209, 0.2189);(0.0000, -0.0468, 0.0000, 0.9989);0;test
