Time;PlayerPosition;PlayerRotation;PlayerHeadRotation;EnemyPosition;EnemyRotation;MinimapButton;Info
0.007169604;(-0.0700, 0.8100, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6424, -0.0289, -0.0185, -0.7656);(-0.6851, 1.0000, 0.1190);(0.0000, 0.0000, 0.0000, 1.0000);0;test
0.02716959;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6424, -0.0289, -0.0187, -0.7656);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0021, 0.0000, 1.0000);0;test
0.04716969;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6424, -0.0289, -0.0187, -0.7656);(-0.6860, 0.8209, 0.1216);(0.0000, -0.0061, 0.0000, 1.0000);0;test
0.06716967;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6424, -0.0288, -0.0188, -0.7656);(-0.6882, 0.8209, 0.1274);(0.0000, -0.0109, 0.0000, 0.9999);0;test
0.08716965;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6424, -0.0288, -0.0188, -0.7656);(-0.6913, 0.8209, 0.1360);(0.0000, -0.0158, 0.0000, 0.9999);0;test
0.1071696;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6423, -0.0288, -0.0188, -0.7657);(-0.6968, 0.8209, 0.1510);(0.0000, -0.0224, 0.0000, 0.9997);0;test
0.1271696;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6423, -0.0289, -0.0187, -0.7657);(-0.7024, 0.8209, 0.1662);(0.0000, -0.0281, 0.0000, 0.9996);0;test
0.1471696;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6423, -0.0289, -0.0187, -0.7657);(-0.7089, 0.8209, 0.1838);(0.0000, -0.0338, 0.0000, 0.9994);0;test
0.1671697;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6422, -0.0289, -0.0187, -0.7657);(-0.7167, 0.8209, 0.2049);(0.0000, -0.0398, 0.0000, 0.9992);0;test
0.1871697;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6421, -0.0289, -0.0186, -0.7658);(-0.7243, 0.8209, 0.2255);(0.0000, -0.0453, 0.0000, 0.9990);0;test
