Time;PlayerPosition;PlayerRotation;PlayerHeadRotation;EnemyPosition;EnemyRotation;MinimapButton;Info
0.002670288;(-0.0700, 0.8100, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0646, 0.0438, 0.0037, -0.9969);(-0.6851, 1.0000, 0.1190);(0.0000, 0.0000, 0.0000, 1.0000);0;test
0.02267075;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0645, 0.0437, 0.0039, -0.9970);(-0.6851, 0.8209, 0.1190);(0.0000, 0.0000, 0.0000, 1.0000);0;test
0.0426712;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0644, 0.0434, 0.0038, -0.9970);(-0.6858, 0.8209, 0.1210);(0.0000, -0.0057, 0.0000, 1.0000);0;test
0.06267166;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0644, 0.0431, 0.0038, -0.9970);(-0.6867, 0.8209, 0.1235);(0.0000, -0.0084, 0.0000, 1.0000);0;test
0.0826683;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0643, 0.0430, 0.0039, -0.9970);(-0.6895, 0.8209, 0.1311);(0.0000, -0.0138, 0.0000, 0.9999);0;test
0.1026688;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0642, 0.0426, 0.0037, -0.9970);(-0.6940, 0.8209, 0.1433);(0.0000, -0.0200, 0.0000, 0.9998);0;test
0.1226692;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0642, 0.0421, 0.0036, -0.9970);(-0.6996, 0.8209, 0.1584);(0.0000, -0.0262, 0.0000, 0.9997);0;test
0.1426697;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0636, 0.0406, 0.0031, -0.9971);(-0.7060, 0.8209, 0.1759);(0.0000, -0.0323, 0.0000, 0.9995);0;test
0.1626701;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0638, 0.0405, 0.0029, -0.9971);(-0.7099, 0.8209, 0.1865);(0.0000, -0.0356, 0.0000, 0.9994);0;test
0.1826706;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0635, 0.0397, 0.0030, -0.9972);(-0.7187, 0.8209, 0.2103);(0.0000, -0.0423, 0.0000, 0.9991);0;test
