Time;PlayerPosition;PlayerRotation;PlayerHeadRotation;EnemyPosition;EnemyRotation;Info
0;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, 0.0000, 0.0000, 1.0000);test
0.02;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.3533334;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7035, 0.8209, 0.1690);(0.0000, -0.1272, 0.0000, 0.9919);test
0.4009563;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7224, 0.8209, 0.2204);(0.0000, -0.1321, 0.0000, 0.9912);test
0.4163071;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7285, 0.8209, 0.2370);(0.0000, -0.1336, 0.0000, 0.9910);test
0.4260299;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7324, 0.8209, 0.2475);(0.0000, -0.1344, 0.0000, 0.9909);test
0.4359855;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7363, 0.8209, 0.2582);(0.0000, -0.1353, 0.0000, 0.9908);test
0.4454149;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7401, 0.8209, 0.2684);(0.0000, -0.1361, 0.0000, 0.9907);test
0.454733;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7438, 0.8209, 0.2785);(0.0000, -0.1369, 0.0000, 0.9906);test
0.4639497;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7474, 0.8209, 0.2884);(0.0000, -0.1377, 0.0000, 0.9905);test
0.4797719;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7537, 0.8209, 0.3055);(0.0000, -0.1390, 0.0000, 0.9903);test
0.4892691;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7575, 0.8209, 0.3157);(0.0000, -0.1397, 0.0000, 0.9902);test
0.4987816;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7613, 0.8209, 0.3260);(0.0000, -0.1405, 0.0000, 0.9901);test
0.5083913;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7651, 0.8209, 0.3364);(0.0000, -0.1412, 0.0000, 0.9900);test
0.5175579;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7687, 0.8209, 0.3463);(0.0000, -0.1419, 0.0000, 0.9899);test
0.5262052;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7721, 0.8209, 0.3556);(0.0000, -0.1425, 0.0000, 0.9898);test
0.5356727;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7759, 0.8209, 0.3658);(0.0000, -0.1432, 0.0000, 0.9897);test
0.5442362;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7793, 0.8209, 0.3751);(0.0000, -0.1437, 0.0000, 0.9896);test
0.5531147;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7828, 0.8209, 0.3846);(0.0000, -0.1444, 0.0000, 0.9895);test
0.5626385;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7866, 0.8209, 0.3949);(0.0000, -0.1450, 0.0000, 0.9894);test
0.5717243;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7902, 0.8209, 0.4047);(0.0000, -0.1456, 0.0000, 0.9893);test
0.5813623;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7941, 0.8209, 0.4151);(0.0000, -0.1462, 0.0000, 0.9893);test
0.5908254;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7978, 0.8209, 0.4253);(0.0000, -0.1468, 0.0000, 0.9892);test
0.5996478;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8013, 0.8209, 0.4349);(0.0000, -0.1473, 0.0000, 0.9891);test
0.6085091;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8048, 0.8209, 0.4444);(0.0000, -0.1479, 0.0000, 0.9890);test
0.6178133;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8085, 0.8209, 0.4545);(0.0000, -0.1484, 0.0000, 0.9889);test
0.6267431;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8121, 0.8209, 0.4641);(0.0000, -0.1490, 0.0000, 0.9888);test
0.6357571;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8157, 0.8209, 0.4738);(0.0000, -0.1495, 0.0000, 0.9888);test
0.6446058;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8192, 0.8209, 0.4834);(0.0000, -0.1500, 0.0000, 0.9887);test
0.6538903;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8229, 0.8209, 0.4934);(0.0000, -0.1505, 0.0000, 0.9886);test
0.6624228;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8262, 0.8209, 0.5026);(0.0000, -0.1509, 0.0000, 0.9885);test
0.6715146;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8299, 0.8209, 0.5124);(0.0000, -0.1514, 0.0000, 0.9885);test
0.6803633;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8334, 0.8209, 0.5220);(0.0000, -0.1519, 0.0000, 0.9884);test
0.6896093;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8370, 0.8209, 0.5320);(0.0000, -0.1523, 0.0000, 0.9883);test
0.6985025;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8406, 0.8209, 0.5416);(0.0000, -0.1528, 0.0000, 0.9883);test
0.7077361;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8442, 0.8209, 0.5515);(0.0000, -0.1532, 0.0000, 0.9882);test
0.7169458;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8479, 0.8209, 0.5615);(0.0000, -0.1537, 0.0000, 0.9881);test
0.7257391;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8514, 0.8209, 0.5710);(0.0000, -0.1541, 0.0000, 0.9881);test
0.7349083;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8550, 0.8209, 0.5808);(0.0000, -0.1545, 0.0000, 0.9880);test
0.7436886;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8585, 0.8209, 0.5903);(0.0000, -0.1549, 0.0000, 0.9879);test
0.752772;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8621, 0.8209, 0.6001);(0.0000, -0.1553, 0.0000, 0.9879);test
