SubjectId;Session;Phase;Pos;Fov;RestFrame;Navigation
1;1;1;seated;default;default;default
1;2;1;seated;reduced;default;default
1;3;1;seated;blurred;textured;default
1;4;1;seated;blurred;default;default
1;5;1;seated;reduced;textured;default
1;6;1;seated;default;textured;default
2;1;1;seated;reduced;default;default
2;2;1;seated;blurred;default;default
2;3;1;seated;default;default;default
2;4;1;seated;default;textured;default
2;5;1;seated;blurred;textured;default
2;6;1;seated;reduced;textured;default
3;1;1;seated;blurred;default;default
3;2;1;seated;default;textured;default
3;3;1;seated;reduced;default;default
3;4;1;seated;reduced;textured;default
3;5;1;seated;default;default;default
3;6;1;seated;blurred;textured;default
4;1;1;seated;default;textured;default
4;2;1;seated;reduced;textured;default
4;3;1;seated;blurred;default;default
4;4;1;seated;blurred;textured;default
4;5;1;seated;reduced;default;default
4;6;1;seated;default;default;default
5;1;1;seated;reduced;textured;default
5;2;1;seated;blurred;textured;default
5;3;1;seated;default;textured;default
5;4;1;seated;default;default;default
5;5;1;seated;blurred;default;default
5;6;1;seated;reduced;default;default
6;1;1;seated;blurred;textured;default
6;2;1;seated;default;default;default
6;3;1;seated;reduced;textured;default
6;4;1;seated;reduced;default;default
6;5;1;seated;default;textured;default
6;6;1;seated;blurred;default;default
7;1;1;seated;default;default;extended
7;2;1;seated;reduced;default;extended
7;3;1;seated;blurred;textured;extended
7;4;1;seated;blurred;default;extended
7;5;1;seated;reduced;textured;extended
7;6;1;seated;default;textured;extended
8;1;1;seated;reduced;default;extended
8;2;1;seated;blurred;default;extended
8;3;1;seated;default;default;extended
8;4;1;seated;default;textured;extended
8;5;1;seated;blurred;textured;extended
8;6;1;seated;reduced;textured;extended
9;1;1;seated;blurred;default;extended
9;2;1;seated;default;textured;extended
9;3;1;seated;reduced;default;extended
9;4;1;seated;reduced;textured;extended
9;5;1;seated;default;default;extended
9;6;1;seated;blurred;textured;extended
10;1;1;seated;default;textured;extended
10;2;1;seated;reduced;textured;extended
10;3;1;seated;blurred;default;extended
10;4;1;seated;blurred;textured;extended
10;5;1;seated;reduced;default;extended
10;6;1;seated;default;default;extended
11;1;1;seated;reduced;textured;extended
11;2;1;seated;blurred;textured;extended
11;3;1;seated;default;textured;extended
11;4;1;seated;default;default;extended
11;5;1;seated;blurred;default;extended
11;6;1;seated;reduced;default;extended
12;1;1;seated;blurred;textured;extended
12;2;1;seated;default;default;extended
12;3;1;seated;reduced;textured;extended
