SubjectId;Session;Phase;Pos;Fov;RestFrame;Navigation
1;1;1;seated;default;default;default
1;2;1;seated;default;default;extended
2;1;1;seated;default;default;extended
2;2;1;seated;default;default;default
3;1;1;lying;default;default;default
3;2;1;lying;default;default;extended
4;1;1;lying;default;default;extended
4;2;1;lying;default;default;default
5;1;1;seated;default;default;default
5;2;1;seated;default;default;extended
6;1;1;seated;default;default;extended
6;2;1;seated;default;default;default
7;1;1;lying;default;default;default
7;2;1;lying;default;default;extended
8;1;1;lying;default;default;extended
8;2;1;lying;default;default;default
9;1;1;seated;reduced;textured;default
9;2;1;seated;blurred;textured;extended
