Time;PlayerPosition;PlayerRotation;PlayerHeadRotation;EnemyPosition;EnemyRotation;Info
0;(-0.0700, 0.8100, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 1.0000, 0.1190);(0.0000, 0.0000, 0.0000, 1.0000);test
0.02;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, 0.0000, 0.0000, 1.0000);test
0.04;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.06;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.08;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.09999999;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.12;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.14;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.16;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.18;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.2;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.22;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.24;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.26;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.28;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.3;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.32;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.34;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.36;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7035, 0.8209, 0.1690);(0.0000, -0.1272, 0.0000, 0.9919);test
0.38;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7035, 0.8209, 0.1690);(0.0000, -0.1272, 0.0000, 0.9919);test
0.4;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7035, 0.8209, 0.1690);(0.0000, -0.1272, 0.0000, 0.9919);test
0.42;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7269, 0.8209, 0.2328);(0.0000, -0.1333, 0.0000, 0.9911);test
0.44;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7373, 0.8209, 0.2610);(0.0000, -0.1357, 0.0000, 0.9908);test
0.46;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7447, 0.8209, 0.2810);(0.0000, -0.1372, 0.0000, 0.9905);test
0.48;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7523, 0.8209, 0.3017);(0.0000, -0.1388, 0.0000, 0.9903);test
0.5;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7600, 0.8209, 0.3225);(0.0000, -0.1403, 0.0000, 0.9901);test
0.52;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7675, 0.8209, 0.3431);(0.0000, -0.1417, 0.0000, 0.9899);test
0.54;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7748, 0.8209, 0.3628);(0.0000, -0.1430, 0.0000, 0.9897);test
0.56;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7853, 0.8209, 0.3914);(0.0000, -0.1449, 0.0000, 0.9895);test
0.58;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7931, 0.8209, 0.4124);(0.0000, -0.1461, 0.0000, 0.9893);test
0.6;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8006, 0.8209, 0.4330);(0.0000, -0.1473, 0.0000, 0.9891);test
0.62;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8080, 0.8209, 0.4530);(0.0000, -0.1484, 0.0000, 0.9889);test
0.64;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8151, 0.8209, 0.4723);(0.0000, -0.1495, 0.0000, 0.9888);test
0.66;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8223, 0.8209, 0.4919);(0.0000, -0.1505, 0.0000, 0.9886);test
0.68;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8329, 0.8209, 0.5207);(0.0000, -0.1519, 0.0000, 0.9884);test
0.7;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8401, 0.8209, 0.5402);(0.0000, -0.1528, 0.0000, 0.9883);test
0.72;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8473, 0.8209, 0.5598);(0.0000, -0.1537, 0.0000, 0.9881);test
0.74;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8546, 0.8209, 0.5797);(0.0000, -0.1545, 0.0000, 0.9880);test
0.76;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8620, 0.8209, 0.5998);(0.0000, -0.1553, 0.0000, 0.9879);test
