Time;PlayerPosition;PlayerRotation;PlayerHeadRotation;EnemyPosition;EnemyRotation;Info
0;(-0.0700, 0.8100, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 1.0000, 0.1190);(0.0000, 0.0000, 0.0000, 1.0000);test
0.02;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, 0.0000, 0.0000, 1.0000);test
0.04;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.06;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.08;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.09999999;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.12;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.14;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.16;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.18;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.2;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.22;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.24;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.26;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.28;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.3;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.32;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.34;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.36;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7035, 0.8209, 0.1690);(0.0000, -0.1272, 0.0000, 0.9919);test
0.38;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7035, 0.8209, 0.1690);(0.0000, -0.1272, 0.0000, 0.9919);test
0.4;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7035, 0.8209, 0.1690);(0.0000, -0.1272, 0.0000, 0.9919);test
0.42;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7251, 0.8209, 0.2279);(0.0000, -0.1328, 0.0000, 0.9911);test
0.44;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7363, 0.8209, 0.2583);(0.0000, -0.1354, 0.0000, 0.9908);test
0.46;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7441, 0.8209, 0.2793);(0.0000, -0.1371, 0.0000, 0.9906);test
0.48;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7512, 0.8209, 0.2988);(0.0000, -0.1385, 0.0000, 0.9904);test
0.5;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7586, 0.8209, 0.3189);(0.0000, -0.1400, 0.0000, 0.9902);test
0.52;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7661, 0.8209, 0.3392);(0.0000, -0.1414, 0.0000, 0.9899);test
0.54;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7773, 0.8209, 0.3696);(0.0000, -0.1434, 0.0000, 0.9897);test
0.56;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7845, 0.8209, 0.3891);(0.0000, -0.1447, 0.0000, 0.9895);test
0.58;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7915, 0.8209, 0.4083);(0.0000, -0.1458, 0.0000, 0.9893);test
0.6;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7985, 0.8209, 0.4273);(0.0000, -0.1470, 0.0000, 0.9891);test
0.62;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8091, 0.8209, 0.4559);(0.0000, -0.1486, 0.0000, 0.9889);test
0.64;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8159, 0.8209, 0.4745);(0.0000, -0.1495, 0.0000, 0.9888);test
0.66;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8231, 0.8209, 0.4942);(0.0000, -0.1505, 0.0000, 0.9886);test
0.68;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8331, 0.8209, 0.5213);(0.0000, -0.1519, 0.0000, 0.9884);test
0.7;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8403, 0.8209, 0.5407);(0.0000, -0.1528, 0.0000, 0.9883);test
0.72;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8473, 0.8209, 0.5598);(0.0000, -0.1536, 0.0000, 0.9881);test
0.74;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8545, 0.8209, 0.5793);(0.0000, -0.1545, 0.0000, 0.9880);test
0.76;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8617, 0.8209, 0.5989);(0.0000, -0.1553, 0.0000, 0.9879);test
