Time;PlayerPosition;PlayerRotation;PlayerHeadRotation;EnemyPosition;EnemyRotation;Info
0;(-0.0700, 0.8100, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 1.0000, 0.1190);(0.0000, 0.0000, 0.0000, 1.0000);test
0.02;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, 0.0000, 0.0000, 1.0000);test
0.04;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.06;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.08;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.09999999;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.12;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.14;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.16;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.18;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.2;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.22;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.24;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.26;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.28;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.3;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.32;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.34;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.6851, 0.8209, 0.1190);(0.0000, -0.0041, 0.0000, 1.0000);test
0.36;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7035, 0.8209, 0.1690);(0.0000, -0.1272, 0.0000, 0.9919);test
0.38;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7035, 0.8209, 0.1690);(0.0000, -0.1272, 0.0000, 0.9919);test
0.4;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7035, 0.8209, 0.1690);(0.0000, -0.1272, 0.0000, 0.9919);test
0.42;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7253, 0.8209, 0.2283);(0.0000, -0.1329, 0.0000, 0.9911);test
0.44;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7349, 0.8209, 0.2543);(0.0000, -0.1351, 0.0000, 0.9908);test
0.46;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7423, 0.8209, 0.2745);(0.0000, -0.1367, 0.0000, 0.9906);test
0.48;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7533, 0.8209, 0.3043);(0.0000, -0.1389, 0.0000, 0.9903);test
0.5;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7609, 0.8209, 0.3250);(0.0000, -0.1404, 0.0000, 0.9901);test
0.52;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7683, 0.8209, 0.3452);(0.0000, -0.1418, 0.0000, 0.9899);test
0.54;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7759, 0.8209, 0.3659);(0.0000, -0.1432, 0.0000, 0.9897);test
0.56;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7829, 0.8209, 0.3848);(0.0000, -0.1444, 0.0000, 0.9895);test
0.58;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.7903, 0.8209, 0.4051);(0.0000, -0.1457, 0.0000, 0.9893);test
0.6;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8007, 0.8209, 0.4331);(0.0000, -0.1473, 0.0000, 0.9891);test
0.62;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8078, 0.8209, 0.4525);(0.0000, -0.1484, 0.0000, 0.9889);test
0.64;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8172, 0.8209, 0.4780);(0.0000, -0.1497, 0.0000, 0.9887);test
0.66;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8246, 0.8209, 0.4983);(0.0000, -0.1508, 0.0000, 0.9886);test
0.68;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8318, 0.8209, 0.5177);(0.0000, -0.1517, 0.0000, 0.9884);test
0.7;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8391, 0.8209, 0.5376);(0.0000, -0.1526, 0.0000, 0.9883);test
0.72;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8462, 0.8209, 0.5567);(0.0000, -0.1535, 0.0000, 0.9881);test
0.74;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8567, 0.8209, 0.5854);(0.0000, -0.1547, 0.0000, 0.9880);test
0.76;(-0.0700, 1.2600, -4.7700);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.8640, 0.8209, 0.6052);(0.0000, -0.1555, 0.0000, 0.9878);test
